"","PROVINCIA","DISTRITO","NCASOS","NCASOS10MIL","NCASOSKM2","NFALLECIDOS","NFALL10MIL","NFALLKM2","LETALIDAD","TOTALPOB","SUPERFICIE"
"1","LIMA","ANCON",829,131.737859140605,2.90418637239447,33,5.24408848207475,0.115606936416185,3.98,62928,285.45
"2","LIMA","ATE",10669,178.055260716026,137.274832732887,434,7.24303900560084,5.58414822439526,4.07,599196,77.72
"3","LIMA","BARRANCO",874,254.23235790331,262.462462462462,36,10.4718133690151,10.8108108108108,4.12,34378,3.33
"4","CALLAO","BELLAVISTA",4347,580.753764144768,953.289473684211,98,13.092677452539,21.4912280701754,2.25,74851,4.56
"5","LIMA","BREÑA",2855,334.665744528713,886.645962732919,138,16.1764878266068,42.8571428571429,4.83,85309,3.22
"6","CALLAO","CALLAO",11500,254.841997961264,251.916757940854,587,13.0080219828923,12.8587075575027,5.1,451260,45.65
"7","LIMA","CARABAYLLO",4762,142.983680883965,15.700108799578,172,5.16446726418352,0.567076588308991,3.61,333045,303.31
"8","LIMA","CHACLACAYO",980,228.374347501864,24.8101265822785,34,7.92319164802386,0.860759493670886,3.47,42912,39.5
"9","LIMA","CHORRILLOS",6172,196.409761934312,158.500256805342,302,9.61045821519152,7.75552131484335,4.89,314241,38.94
"10","LIMA","CIENEGUILLA",270,77.8456925383462,1.12345524903258,8,2.30653903817322,0.0332875629342987,2.96,34684,240.33
"11","LIMA","COMAS",11955,229.705062926314,245.230769230769,536,10.2987799020079,10.9948717948718,4.48,520450,48.75
"12","LIMA","EL AGUSTINO",7955,400.026148786596,634.370015948963,275,13.8286852188955,21.9298245614035,3.46,198862,12.54
"13",NA,"EN INVESTIGACIÓN",1133,NA,NA,NA,NA,NA,NA,NA,NA
"14","LIMA","INDEPENDENCIA",5267,249.195685087055,361.744505494505,215,10.1722180166541,14.7664835164835,4.08,211360,14.56
"15","LIMA","JESUS MARIA",7793,1034.11669475444,1705.25164113786,134,17.7815523029764,29.3216630196937,1.72,75359,4.57
"16","LIMA","LA MOLINA",1793,127.45328016264,27.2699619771863,72,5.11803467468492,1.09505703422053,4.02,140679,65.75
"17","CALLAO","LA PERLA",548,89.2261100346809,199.272727272727,50,8.14106843382126,18.1818181818182,9.12,61417,2.75
"18","CALLAO","LA PUNTA",38,99.2426220945417,2.06746463547334,7,18.2815356489945,0.380848748639826,18.42,3829,18.38
"19","LIMA","LA VICTORIA",7613,438.461095432817,871.052631578947,344,19.8122444278063,39.3592677345538,4.52,173630,8.74
"20","LIMA","LIMA",17394,648.17851180539,791.355777979982,684,25.4889100882423,31.1191992720655,3.93,268352,21.98
"21","LIMA","LINCE",1717,313.8308566833,566.666666666667,75,13.7083950211109,24.7524752475248,4.37,54711,3.03
"22","LIMA","LOS OLIVOS",6974,214.002528507076,382.13698630137,235,7.21115488946987,12.8767123287671,3.37,325884,18.25
"23","LIMA","LURIGANCHO",2432,100.990806182365,10.2846026980167,95,3.94495336649863,0.401742292891276,3.91,240814,236.47
"24","LIMA","LURIN",1512,169.516228488144,8.38788416731388,60,6.72683446381524,0.332852546321979,3.97,89195,180.26
"25","LIMA","MAGDALENA DEL MAR",1403,232.708575219771,388.642659279778,52,8.62497926687676,14.404432132964,3.71,60290,3.61
"26","CALLAO","MI PERU",533,117.667836722079,211.507936507937,25,5.51912930216129,9.92063492063492,4.69,45297,2.52
"27","LIMA","MIRAFLORES",2285,230.025066188832,237.525987525988,53,5.33537352648057,5.50935550935551,2.32,99337,9.62
"28","LIMA","PACHACAMAC",988,89.7602456596197,6.16613617924234,36,3.27061623860962,0.224677026774012,3.64,110071,160.23
"29","LIMA","PUCUSANA",414,278.020280706467,11.0724792725328,13,8.73010543281177,0.347686547205135,3.14,14891,37.39
"30","LIMA","PUEBLO LIBRE",1727,207.265700946917,394.292237442922,91,10.9213542479267,20.7762557077626,5.27,83323,4.38
"31","LIMA","PUENTE PIEDRA",5291,160.491393038599,72.6685894794671,168,5.09592780768939,2.3073753605274,3.18,329675,72.81
"32","LIMA","PUNTA HERMOSA",128,80.6350006299609,1.07112970711297,5,3.14980471210785,0.0418410041841004,3.91,15874,119.5
"33","LIMA","PUNTA NEGRA",47,66.4404862878145,0.360153256704981,2,2.82725473565168,0.0153256704980843,4.26,7074,130.5
"34","LIMA","RIMAC",5800,331.836255971622,488.626790227464,230,13.1590239437023,19.3765796124684,3.97,174785,11.87
"35","LIMA","SAN BARTOLO",98,130.981021117348,2.17729393468118,7,9.35578722266774,0.15552099533437,7.14,7482,45.01
"36","LIMA","SAN BORJA",2541,224.376804683568,255.120481927711,54,4.76833823412541,5.42168674698795,2.13,113247,9.96
"37","LIMA","SAN ISIDRO",1625,267.555775088499,146.396396396396,30,4.93949123240306,2.7027027027027,1.85,60735,11.1
"38","LIMA","SAN JUAN DE LURIGANCHO",19796,190.622005883514,150.826666666667,969,9.33081045166322,7.38285714285714,4.89,1038495,131.25
"39","LIMA","SAN JUAN DE MIRAFLORES",7752,218.231569820308,337.483674357858,344,9.68416666901264,14.9760557248585,4.44,355219,22.97
"40","LIMA","SAN LUIS",1725,331.208478937061,494.269340974212,50,9.60024576629162,14.3266475644699,2.9,52082,3.49
"41","LIMA","SAN MARTIN DE PORRES",13930,212.969913604237,378.326996197719,575,8.79093326076354,15.6165127648017,4.13,654083,36.82
"42","LIMA","SAN MIGUEL",3285,211.411728363281,306.436567164179,98,6.30695567111157,9.14179104477612,2.98,155384,10.72
"43","LIMA","SANTA ANITA",5485,279.541724851438,513.096351730589,244,12.4354021629445,22.8250701590271,4.45,196214,10.69
