"","PROVINCIA","DISTRITO","NCASOS","NCASOS10MIL","NCASOSKM2","NFALLECIDOS","NFALL10MIL","NFALLKM2","LETALIDAD","TOTALPOB","SUPERFICIE"
"1","LIMA","ANCON",804,127.765064836003,2.81660535995796,32,5.08517670989067,0.112103695918725,3.98,62928,285.45
"2","LIMA","ATE",10481,174.917723082264,134.855892949048,424,7.07614870593262,5.45548121461657,4.05,599196,77.72
"3","LIMA","BARRANCO",859,249.869102332887,257.957957957958,35,10.1809296643202,10.5105105105105,4.07,34378,3.33
"4","CALLAO","BELLAVISTA",4276,571.268252929153,937.719298245614,97,12.9590787030233,21.2719298245614,2.27,74851,4.56
"5","LIMA","BREÑA",2821,330.680233035201,876.086956521739,135,15.8248250477675,41.9254658385093,4.79,85309,3.22
"6","CALLAO","CALLAO",11425,253.179984931082,250.273822562979,577,12.7864202455347,12.6396495071194,5.05,451260,45.65
"7","LIMA","CARABAYLLO",4620,138.719992793767,15.2319409185322,171,5.13444129171734,0.563779631400218,3.7,333045,303.31
"8","LIMA","CHACLACAYO",962,224.179716629381,24.3544303797468,33,7.69015659955257,0.835443037974684,3.43,42912,39.5
"9","LIMA","CHORRILLOS",6064,192.972909327554,155.72675911659,299,9.51499008722605,7.67847971237802,4.93,314241,38.94
"10","LIMA","CIENEGUILLA",264,76.1157882597163,1.09848957683186,8,2.30653903817322,0.0332875629342987,3.03,34684,240.33
"11","LIMA","COMAS",11699,224.786242674609,239.979487179487,528,10.1450667691421,10.8307692307692,4.51,520450,48.75
"12","LIMA","EL AGUSTINO",7857,395.098108235862,626.555023923445,269,13.5269684504832,21.451355661882,3.42,198862,12.54
"13",NA,"EN INVESTIGACIÓN",1114,NA,NA,NA,NA,NA,NA,NA,NA
"14","LIMA","INDEPENDENCIA",5167,244.464420893263,354.876373626374,211,9.98296744890235,14.4917582417582,4.08,211360,14.56
"15","LIMA","JESUS MARIA",7547,1001.47294948181,1651.42231947484,132,17.5161559999469,28.8840262582057,1.75,75359,4.57
"16","LIMA","LA MOLINA",1732,123.117167452143,26.3422053231939,70,4.97586704483256,1.06463878326996,4.04,140679,65.75
"17","CALLAO","LA PERLA",540,87.9235390852695,196.363636363636,50,8.14106843382126,18.1818181818182,9.26,61417,2.75
"18","CALLAO","LA PUNTA",38,99.2426220945417,2.06746463547334,7,18.2815356489945,0.380848748639826,18.42,3829,18.38
"19","LIMA","LA VICTORIA",7508,432.413753383632,859.038901601831,341,19.639463226401,39.0160183066362,4.54,173630,8.74
"20","LIMA","LIMA",17089,636.812842833294,777.479526842584,676,25.1907941807775,30.7552320291174,3.96,268352,21.98
"21","LIMA","LINCE",1672,305.605819670633,551.815181518152,73,13.342837820548,24.0924092409241,4.37,54711,3.03
"22","LIMA","LOS OLIVOS",6797,208.571148015858,372.438356164384,228,6.99635453106013,12.4931506849315,3.35,325884,18.25
"23","LIMA","LURIGANCHO",2353,97.7102660144344,9.95052226498076,90,3.73732424194607,0.380597961686472,3.82,240814,236.47
"24","LIMA","LURIN",1495,167.61029205673,8.29357594585599,59,6.61472055608498,0.32730500388328,3.95,89195,180.26
"25","LIMA","MAGDALENA DEL MAR",1375,228.06435561453,380.886426592798,51,8.45911428097529,14.1274238227147,3.71,60290,3.61
"26","CALLAO","MI PERU",529,116.784776033733,209.920634920635,25,5.51912930216129,9.92063492063492,4.73,45297,2.52
"27","LIMA","MIRAFLORES",2254,226.904376012966,234.303534303534,53,5.33537352648057,5.50935550935551,2.35,99337,9.62
"28","LIMA","PACHACAMAC",948,86.1262276167201,5.91649503838233,35,3.17976578753713,0.218435998252512,3.69,110071,160.23
"29","LIMA","PUCUSANA",414,278.020280706467,11.0724792725328,13,8.73010543281177,0.347686547205135,3.14,14891,37.39
"30","LIMA","PUEBLO LIBRE",1689,202.705135436794,385.616438356164,87,10.4412947205453,19.8630136986301,5.15,83323,4.38
"31","LIMA","PUENTE PIEDRA",5195,157.579434291348,71.3500892734514,162,4.9139303859862,2.22496909765142,3.12,329675,72.81
"32","LIMA","PUNTA HERMOSA",124,78.1151568602747,1.03765690376569,5,3.14980471210785,0.0418410041841004,4.03,15874,119.5
"33","LIMA","PUNTA NEGRA",46,65.0268589199887,0.352490421455939,2,2.82725473565168,0.0153256704980843,4.35,7074,130.5
"34","LIMA","RIMAC",5680,324.970678261865,478.517270429655,224,12.8157450582144,18.8711036225779,3.94,174785,11.87
"35","LIMA","SAN BARTOLO",96,128.307939053729,2.13285936458565,6,8.01924619085806,0.133303710286603,6.25,7482,45.01
"36","LIMA","SAN BORJA",2487,219.608466449442,249.698795180723,52,4.59173311434298,5.22088353413655,2.09,113247,9.96
"37","LIMA","SAN ISIDRO",1597,262.94558327159,143.873873873874,30,4.93949123240306,2.7027027027027,1.88,60735,11.1
"38","LIMA","SAN JUAN DE LURIGANCHO",19445,187.242114791116,148.152380952381,943,9.08044814852262,7.1847619047619,4.85,1038495,131.25
"39","LIMA","SAN JUAN DE MIRAFLORES",7585,213.53024472227,330.213321723988,340,9.57156007983807,14.8019155420113,4.48,355219,22.97
"40","LIMA","SAN LUIS",1679,322.376252832073,481.0888252149,49,9.40824085096578,14.0401146131805,2.92,52082,3.49
