"","PROVINCIA","DISTRITO","NCASOS","NCASOS10MIL","NCASOSKM2","NFALLECIDOS","NFALL10MIL","NFALLKM2","LETALIDAD","TOTALPOB","SUPERFICIE"
"41","LIMA","SAN MARTIN DE PORRES",13721,209.774600471194,372.650733297121,562,8.59218172617237,15.263443780554,4.1,654083,36.82
"42","LIMA","SAN MIGUEL",3209,206.520619883643,299.347014925373,95,6.11388559954693,8.86194029850746,2.96,155384,10.72
"43","LIMA","SANTA ANITA",5366,273.476918058854,501.964452759588,237,12.0786488222043,22.1702525724977,4.42,196214,10.69
"44","LIMA","SANTA MARIA DEL MAR",40,400.4004004004,4.07747196738022,NA,NA,NA,NA,999,9.81
"45","LIMA","SANTA ROSA",215,77.1632631087823,10.0702576112412,6,2.1533933890823,0.281030444964871,2.79,27863,21.35
"46","LIMA","SANTIAGO DE SURCO",5676,172.443126579817,158.149902479799,197,5.98507680342213,5.48899414878796,3.47,329152,35.89
"47","LIMA","SURQUILLO",2322,255.10035924986,671.098265895954,94,10.3270601935774,27.1676300578035,4.05,91023,3.46
"48","CALLAO","VENTANILLA",3526,111.723700887199,50.4218504218504,171,5.41825095057034,2.44530244530245,4.85,315600,69.93
"49","LIMA","VILLA EL SALVADOR",8856,225.197963657077,249.746192893401,550,13.9858717266703,15.5104342921602,6.21,393254,35.46
"50","LIMA","VILLA MARIA DEL TRIUNFO",6548,164.343816902716,92.7873033867082,314,7.88087332123594,4.44948278305229,4.8,398433,70.57
"51","CALLAO","CARMEN DE LA LEGUA REYNOSO",NA,NA,NA,63,14.9147727272727,29.7169811320755,NA,42240,2.12
