"","PROVINCIA","DISTRITO","NCASOS","NCASOS10MIL","NCASOSKM2","NFALLECIDOS","NFALL10MIL","NFALLKM2","LETALIDAD","TOTALPOB","SUPERFICIE"
"1","LIMA","ANCON",2279,362.159928807526,7.98388509371168,66,10.4881769641495,0.23121387283237,2.9,62928,285.45
"2","LIMA","ATE",22253,371.380983851695,286.322696860525,882,14.7197244307372,11.3484302624807,3.96,599196,77.72
"3","LIMA","BARRANCO",1831,532.608063296294,549.84984984985,87,25.3068823084531,26.1261261261261,4.75,34378,3.33
"4","CALLAO","BELLAVISTA",9921,1325.4331939453,2175.65789473684,189,25.2501636584682,41.4473684210526,1.91,74851,4.56
"5",NA,"BREÑA",6402,NA,NA,NA,NA,NA,NA,NA,NA
"6","CALLAO","CALLAO",22246,492.975224925763,487.316538882804,1210,26.8138102202721,26.5060240963855,5.44,451260,45.65
"7","LIMA","CARABAYLLO",10893,327.072918074134,35.9137516072665,368,11.0495578675554,1.21328014242854,3.38,333045,303.31
"8","LIMA","CHACLACAYO",2257,525.960104399702,57.1392405063291,65,15.1472781506339,1.64556962025316,2.88,42912,39.5
"9","LIMA","CHORRILLOS",12724,404.912153410917,326.759116589625,556,17.6934263829354,14.2783769902414,4.37,314241,38.94
"10","LIMA","CIENEGUILLA",651,187.694614231346,2.70877543377855,23,6.63129973474801,0.0957017434361087,3.53,34684,240.33
"11","LIMA","COMAS",24913,478.681909885676,511.035897435897,1023,19.6560668652128,20.9846153846154,4.11,520450,48.75
"12","LIMA","EL AGUSTINO",14985,753.537629109634,1194.97607655502,504,25.3442085466303,40.1913875598086,3.36,198862,12.54
"13",NA,"EN INVESTIGACIÓN",2571,NA,NA,NA,NA,NA,NA,NA,NA
"14","LIMA","INDEPENDENCIA",10955,518.309992429977,752.403846153846,407,19.2562452687358,27.9532967032967,3.72,211360,14.56
"15","LIMA","JESUS MARIA",19666,2609.64184768906,4303.28227571116,300,39.8094454544248,65.6455142231947,1.53,75359,4.57
"16","LIMA","LA MOLINA",5410,384.563438750631,82.2813688212928,156,11.089075128484,2.37262357414449,2.88,140679,65.75
"17","CALLAO","LA PERLA",1380,224.693488773467,501.818181818182,107,17.4218864483775,38.9090909090909,7.75,61417,2.75
"18","CALLAO","LA PUNTA",62,161.922172891094,3.37323177366703,16,41.7863671977018,0.870511425462459,25.81,3829,18.38
"19","LIMA","LA VICTORIA",12918,743.995853251166,1478.03203661327,662,38.1270517767667,75.7437070938215,5.12,173630,8.74
"20","LIMA","LIMA",37596,1400.99570713093,1710.46405823476,1272,47.4004292869067,57.8707916287534,3.38,268352,21.98
"21","LIMA","LINCE",3835,700.955932079472,1265.67656765677,166,30.3412476467255,54.7854785478548,4.33,54711,3.03
"22","LIMA","LOS OLIVOS",15627,479.526457267003,856.27397260274,510,15.649740398424,27.9452054794521,3.26,325884,18.25
"23","LIMA","LURIGANCHO",6603,274.19502188411,27.9232037890642,203,8.4297424568339,0.858459846915042,3.07,240814,236.47
"24","LIMA","LURIN",2953,331.07236952744,16.3818928214801,116,13.0052132967095,0.64351492288916,3.93,89195,180.26
"25","LIMA","MAGDALENA DEL MAR",2950,489.301708409355,817.174515235457,111,18.4110134350639,30.7479224376731,3.76,60290,3.61
"26","CALLAO","MI PERU",1494,329.823167097159,592.857142857143,45,9.93443274389032,17.8571428571429,3.01,45297,2.52
"27","LIMA","MIRAFLORES",5303,533.83935492314,551.247401247401,152,15.3014486042462,15.8004158004158,2.87,99337,9.62
"28","LIMA","PACHACAMAC",2714,246.568124210737,16.9381514073519,86,7.8131387922341,0.53672845284903,3.17,110071,160.23
"29","LIMA","PUCUSANA",682,457.99476193674,18.2401711687617,25,16.7886642938688,0.66862797539449,3.67,14891,37.39
"30","LIMA","PUEBLO LIBRE",3750,450.055806920058,856.164383561644,173,20.7625745592453,39.4977168949772,4.61,83323,4.38
"31","LIMA","PUENTE PIEDRA",12528,380.010616516266,172.064276885043,365,11.0715098202775,5.0130476582887,2.91,329675,72.81
"32","LIMA","PUNTA HERMOSA",245,154.340430893285,2.05020920502092,9,5.66964848179413,0.0753138075313808,3.67,15874,119.5
"33","LIMA","PUNTA NEGRA",226,319.47978512864,1.73180076628352,5,7.06813683912921,0.0383141762452107,2.21,7074,130.5
"34","LIMA","RIMAC",10990,628.772491918643,925.86352148273,444,25.4026375261035,37.4052232518955,4.04,174785,11.87
"35","LIMA","SAN BARTOLO",298,398.289227479284,6.62075094423462,13,17.3750334135258,0.288824705620973,4.36,7482,45.01
"36","LIMA","SAN BORJA",5233,462.087295910708,525.401606425703,123,10.861214866619,12.3493975903614,2.35,113247,9.96
"37","LIMA","SAN ISIDRO",3248,534.782250761505,292.612612612613,65,10.70223100354,5.85585585585586,2,60735,11.1
"38","LIMA","SAN JUAN DE LURIGANCHO",40696,391.874780331152,310.064761904762,1755,16.8994554619907,13.3714285714286,4.31,1038495,131.25
"39","LIMA","SAN JUAN DE MIRAFLORES",16718,470.639239455097,727.818894209839,690,19.4246366326126,30.0391815411406,4.13,355219,22.97
"40","LIMA","SAN LUIS",3041,583.886947505856,871.34670487106,98,18.8164817019316,28.080229226361,3.22,52082,3.49
"41","LIMA","SAN MARTIN DE PORRES",28075,429.22687181902,762.493210211841,1110,16.9703233381696,30.146659424226,3.95,654083,36.82
"42","LIMA","SAN MIGUEL",6712,431.962106780621,626.119402985075,206,13.2574782474386,19.2164179104478,3.07,155384,10.72
"43","LIMA","SANTA ANITA",10619,541.194817902902,993.358278765201,447,22.7812490444107,41.8147801683817,4.21,196214,10.69
"44","LIMA","SANTA MARIA DEL MAR",99,990.990990990991,10.0917431192661,2,20.02002002002,0.203873598369011,2.02,999,9.81
"45","LIMA","SANTA ROSA",647,232.207587122708,30.3044496487119,16,5.74238237088612,0.749414519906323,2.47,27863,21.35
"46","LIMA","SANTIAGO DE SURCO",13245,402.397676453432,369.044302033993,439,13.3373031304686,12.2318194483143,3.31,329152,35.89
"47","LIMA","SURQUILLO",5261,577.985783812882,1520.52023121387,195,21.423156784549,56.3583815028902,3.71,91023,3.46
"48","CALLAO","VENTANILLA",9212,291.888466413181,131.731731731732,350,11.0899873257288,5.005005005005,3.8,315600,69.93
"49","LIMA","VILLA EL SALVADOR",18621,473.510758949686,525.126903553299,994,25.276284538746,28.0315848843768,5.34,393254,35.46
"50","LIMA","VILLA MARIA DEL TRIUNFO",15625,392.161291860865,221.411364602522,653,16.3892047094493,9.25322374946861,4.18,398433,70.57
"51",NA,"BRE´.¢A",NA,NA,NA,5,NA,NA,NA,NA,NA
"52","LIMA","BRE�A",NA,NA,NA,282,33.0563012108922,87.5776397515528,NA,85309,3.22
"53","CALLAO","CARMEN DE LA LEGUA REYNOSO",NA,NA,NA,119,28.1723484848485,56.1320754716981,NA,42240,2.12
